contract_version,series_id,display_name,unit,quarterly_unit,metric_type,annual_semantics,quarterly_source,derivation_method,seasonal_basis,source_window,annual_reconciliation_rule,positivity_rule,provenance_label,limitation,display_horizon_last_fy,display_horizon_last_quarter,in_display_series_order
revenue-outlook-quarterly-display-contract-v1,light_petrol_vkt,Light petrol VKT,million km,million km,activity,sum,derived,denton_proportional_first_difference,ped_vkt_per_capita,"official annual FY2003-FY2050 (BEFU26, MBU26); current-model annual from the selected PED bridge",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"Annual-only in every source. Before this contract the series had no official annual rows at all, so neither an annual nor a quarterly official line could draw. No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",2050,2050Q2,False
revenue-outlook-quarterly-display-contract-v1,ped_vkt_per_capita,PED VKT per capita,km/person,VKT per capita,activity,rate,native,native_published_quarterly,ped_vkt_per_capita,native quarterly actuals from 2002Q1 to 2025Q4; current-model quarters to 2030Q4,sum_of_quarters_equals_annual,non_negative_required,published quarterly value,"The published annual km/person is annual VKT over mean-year population, not the sum of four quarterly per-capita figures, so the NATIVE quarters sum to within 0.07-0.29% of the annual anchor rather than exactly. Derived quarters, where a trace has none, partition the annual anchor exactly and are labelled as derived.",2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,ped_volume,PED volume,million litres,million litres,activity,sum,derived,denton_proportional_first_difference,ped_vkt_per_capita,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,light_ruc_net_km,Light RUC net km,million km,net km,activity,sum,native,native_published_quarterly,light_ruc_net_km,native quarterly actuals from 2009Q3 to 2025Q4; current-model quarters to 2030Q4,sum_of_quarters_equals_annual,non_negative_required,published quarterly value,Quarterly is published in net km and annual in million km; the annual value is the quarterly sum divided by 1e6 exactly.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,heavy_ruc_net_km,Heavy RUC net km,million km,net km,activity,sum,native,native_published_quarterly,heavy_ruc_net_km,native quarterly actuals from 2009Q3 to 2025Q4; current-model quarters to 2030Q4,sum_of_quarters_equals_annual,non_negative_required,published quarterly value,Quarterly is published in net km and annual in million km; the annual value is the quarterly sum divided by 1e6 exactly.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,light_bev_ruc_net_km,Light BEV RUC net km,million km,million km,activity,sum,derived,denton_proportional_first_difference,light_ruc_net_km,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,phev_ruc_net_km,PHEV RUC net km,million km,million km,activity,sum,derived,denton_proportional_first_difference,light_ruc_net_km,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,gross_ped_revenue,PED revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,ped_vkt_per_capita,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,light_ruc_net_revenue,Light RUC revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,light_ruc_net_km,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,light_bev_ruc_net_revenue,Light BEV RUC net revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,light_ruc_net_km,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,phev_ruc_net_revenue,PHEV RUC net revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,light_ruc_net_km,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,heavy_ruc_net_revenue,Heavy RUC revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,heavy_ruc_net_km,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,gross_fed_revenue,Gross FED revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,ped_vkt_per_capita,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,net_fed_revenue,Net FED revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,ped_vkt_per_capita,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.,2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,total_ruc_net_revenue,Total RUC all classes,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,neutral_flat_indicator,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"A net-of-admin-and-refunds rollup across three RUC classes with no single governing activity path, so the split uses the neutral flat indicator (minimum quarter-to-quarter movement subject to exact annual closure). No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,net_mvr_revenue,Net MVR revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,denton_proportional_first_difference,neutral_flat_indicator,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"Registration and licensing revenue has no governed quarterly activity indicator in the pack, so the neutral flat indicator is used. No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",2050,2050Q2,True
revenue-outlook-quarterly-display-contract-v1,total_fed_ruc_net_revenue,Total RUC+PED revenue,$m nominal ex GST,$m nominal ex GST,revenue,sum,derived,governed_identity_composition,net_fed_revenue + total_ruc_net_revenue,"annual chart rows FY2001-FY2050 (Actual, current model, official comparators)",sum_of_quarters_equals_annual,non_negative_required,derived quarterly presentation from official annual source,"A strict accounting identity. Splitting it independently is annual-consistent but leaves material quarter-level residuals against its own components, so its quarters are composed from the two governed component paths instead. No native quarterly path exists for any trace; every quarter shown is derived from the June-year benchmark and is indicative display only.",2050,2050Q2,True
