state_id,calculation_state_id,label,delay_months,delay_quarters,start_period,display_order,is_published,is_no_uplift,is_bespoke,schedule_kind,schedule_column,path_suffix,pair_state_suffix,timing_id,timing_label,direct_affected_quarters,note
published,published,Original timing — 1 Jan 2027,0,0,2027Q1,0,True,False,False,published,planned,published,published,published,12c original timing: from 1 Jan 2027,,"The legislated petrol excise increases (+6c/L in FY2027, +12c/L from FY2028) baked into the Current planned path apply on their published dates, beginning 1 January 2027."
delayed_6m,delay_6m,Deferred 0.5 years (6 months) — 1 Jul 2027,6,2,2027Q3,1,False,False,False,wedge_deferral,delayed_6m,shifted_6m,delayed_6m,delayed_6m,12c deferred six months: from 1 Jul 2027,2027Q1;2027Q2,"The initial +12c/L step moves from 1 January 2027 to 1 Jul 2027 (2027Q3). In calendar quarters 2027Q1 up to but excluding 2027Q3 the PED retail-price input carries the no-uplift rate and the same proportional reduction is applied to Light and Heavy RUC rates and real RUC model-price inputs; the published direct rate path resumes in 2027Q3. The six-month deferral moves only the initial 12c/L wedge: other scheduled increases retain their published dates and the path catches up to the published rate at 1 Jul 2027. Every longer deferral shifts the entire legislated staircase - the initial 12c/L step and every later scheduled increase move forward by the selected duration. Because the official staircase adds +4c/L every calendar year with no terminal step, a shifted path never catches up: each deferred year leaves the rate 4c/L below original timing in every later year."
delayed_12m,delay_12m,Deferred 1.0 year (12 months) — 1 Jan 2028,12,4,2028Q1,2,False,False,False,staircase_shift,delayed_12m,shifted_12m,delayed_12m,delayed_12m,12c deferred 12 months: from 1 Jan 2028,2027Q1;2027Q2;2027Q3;2027Q4,"The ENTIRE legislated staircase shifts by 12 months: the initial +12c/L step moves from 1 January 2027 to 1 Jan 2028 (2028Q1) and every later scheduled increase moves by the same 4 calendar quarters, so the PED retail-price input, the proportional Light and Heavy RUC rates and real RUC model-price inputs all stay persistently below original timing - the ongoing +4c/L annual steps shift too, so the shortfall never closes. The six-month deferral moves only the initial 12c/L wedge: other scheduled increases retain their published dates and the path catches up to the published rate at 1 Jul 2027. Every longer deferral shifts the entire legislated staircase - the initial 12c/L step and every later scheduled increase move forward by the selected duration. Because the official staircase adds +4c/L every calendar year with no terminal step, a shifted path never catches up: each deferred year leaves the rate 4c/L below original timing in every later year."
delayed_18m,delay_18m,Deferred 1.5 years (18 months) — 1 Jul 2028,18,6,2028Q3,3,False,False,False,staircase_shift,delayed_18m,shifted_18m,delayed_18m,delayed_18m,12c deferred 18 months: from 1 Jul 2028,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2,"The ENTIRE legislated staircase shifts by 18 months: the initial +12c/L step moves from 1 January 2027 to 1 Jul 2028 (2028Q3) and every later scheduled increase moves by the same 6 calendar quarters, so the PED retail-price input, the proportional Light and Heavy RUC rates and real RUC model-price inputs all stay persistently below original timing - the ongoing +4c/L annual steps shift too, so the shortfall never closes. The six-month deferral moves only the initial 12c/L wedge: other scheduled increases retain their published dates and the path catches up to the published rate at 1 Jul 2027. Every longer deferral shifts the entire legislated staircase - the initial 12c/L step and every later scheduled increase move forward by the selected duration. Because the official staircase adds +4c/L every calendar year with no terminal step, a shifted path never catches up: each deferred year leaves the rate 4c/L below original timing in every later year."
delayed_24m,delay_24m,Deferred 2.0 years (24 months) — 1 Jan 2029,24,8,2029Q1,4,False,False,False,staircase_shift,delayed_24m,shifted_24m,delayed_24m,delayed_24m,12c deferred 24 months: from 1 Jan 2029,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4,"The ENTIRE legislated staircase shifts by 24 months: the initial +12c/L step moves from 1 January 2027 to 1 Jan 2029 (2029Q1) and every later scheduled increase moves by the same 8 calendar quarters, so the PED retail-price input, the proportional Light and Heavy RUC rates and real RUC model-price inputs all stay persistently below original timing - the ongoing +4c/L annual steps shift too, so the shortfall never closes. The six-month deferral moves only the initial 12c/L wedge: other scheduled increases retain their published dates and the path catches up to the published rate at 1 Jul 2027. Every longer deferral shifts the entire legislated staircase - the initial 12c/L step and every later scheduled increase move forward by the selected duration. Because the official staircase adds +4c/L every calendar year with no terminal step, a shifted path never catches up: each deferred year leaves the rate 4c/L below original timing in every later year."
delayed_30m,delay_30m,Deferred 2.5 years (30 months) — 1 Jul 2029,30,10,2029Q3,5,False,False,False,staircase_shift,delayed_30m,shifted_30m,delayed_30m,delayed_30m,12c deferred 30 months: from 1 Jul 2029,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2,"The ENTIRE legislated staircase shifts by 30 months: the initial +12c/L step moves from 1 January 2027 to 1 Jul 2029 (2029Q3) and every later scheduled increase moves by the same 10 calendar quarters, so the PED retail-price input, the proportional Light and Heavy RUC rates and real RUC model-price inputs all stay persistently below original timing - the ongoing +4c/L annual steps shift too, so the shortfall never closes. The six-month deferral moves only the initial 12c/L wedge: other scheduled increases retain their published dates and the path catches up to the published rate at 1 Jul 2027. Every longer deferral shifts the entire legislated staircase - the initial 12c/L step and every later scheduled increase move forward by the selected duration. Because the official staircase adds +4c/L every calendar year with no terminal step, a shifted path never catches up: each deferred year leaves the rate 4c/L below original timing in every later year."
delayed_36m,delay_36m,Deferred 3.0 years (36 months) — 1 Jan 2030,36,12,2030Q1,6,False,False,False,staircase_shift,delayed_36m,shifted_36m,delayed_36m,delayed_36m,12c deferred 36 months: from 1 Jan 2030,2027Q1;2027Q2;2027Q3;2027Q4;2028Q1;2028Q2;2028Q3;2028Q4;2029Q1;2029Q2;2029Q3;2029Q4,"The ENTIRE legislated staircase shifts by 36 months: the initial +12c/L step moves from 1 January 2027 to 1 Jan 2030 (2030Q1) and every later scheduled increase moves by the same 12 calendar quarters, so the PED retail-price input, the proportional Light and Heavy RUC rates and real RUC model-price inputs all stay persistently below original timing - the ongoing +4c/L annual steps shift too, so the shortfall never closes. The six-month deferral moves only the initial 12c/L wedge: other scheduled increases retain their published dates and the path catches up to the published rate at 1 Jul 2027. Every longer deferral shifts the entire legislated staircase - the initial 12c/L step and every later scheduled increase move forward by the selected duration. Because the official staircase adds +4c/L every calendar year with no terminal step, a shifted path never catches up: each deferred year leaves the rate 4c/L below original timing in every later year."
off,no_uplift,"No 12c uplift — 6c from 1 Jan 2028, then +4c/L annually",-1,-1,,7,False,True,False,no_uplift,no_uplift,no_uplift,no_uplift,no_uplift,12c uplift off,2027Q1_onward,"The 12c uplift is removed entirely: from 2027Q1 onward PED and all RUC collection rates follow the governed no-uplift schedule, carried parallel to the planned path beyond the legislated window."
option1_12c_10c_4c,option1_12c_10c_4c,"Option 1 — 12c on 1 Jan 2028, 10c on 1 Jan 2029, then +4c annually",-1,-1,2028Q1,8,False,False,True,bespoke_steps,option1_12c_10c_4c,option1_12c_10c_4c,option1_12c_10c_4c,option1_12c_10c_4c,"Option 1 — 12c on 1 Jan 2028, 10c on 1 Jan 2029, then +4c annually",derived_from_governed_schedule,"Bespoke rate path: the 2027 12c/L uplift does not occur (the path prices at the governed no-uplift schedule through calendar 2027), then +12c/L applies on 1 January 2028 and +10c/L on 1 January 2029, followed by +4c/L at every later 1 January through the governed horizon. From 1 January 2029 the direct rate equals the published staircase and tracks it thereafter, so direct rate deltas close at that boundary. Every amount is an incremental EX-GST cents-per-litre increase on the governed pre-uplift base, derived from the schedule at build time. The PED retail-price input carries the selected-minus-published wedge and the same proportional selected/planned signal is applied to Light and Heavy RUC rates and real RUC model-price inputs; governed coefficients determine the resulting volume response."
option2_9c_9c_4c,option2_9c_9c_4c,"Option 2 — 9c on 1 Jan 2028, 9c on 1 Jan 2029, then +4c annually",-1,-1,2028Q1,9,False,False,True,bespoke_steps,option2_9c_9c_4c,option2_9c_9c_4c,option2_9c_9c_4c,option2_9c_9c_4c,"Option 2 — 9c on 1 Jan 2028, 9c on 1 Jan 2029, then +4c annually",derived_from_governed_schedule,"Bespoke rate path: the 2027 12c/L uplift does not occur (the path prices at the governed no-uplift schedule through calendar 2027), then +9c/L applies on 1 January 2028 and +9c/L on 1 January 2029, followed by +4c/L at every later 1 January through the governed horizon. From 1 January 2029 the path prices exactly like the 12-month full-staircase shift while sitting 3c/L below that state during calendar 2028. Every amount is an incremental EX-GST cents-per-litre increase on the governed pre-uplift base, derived from the schedule at build time. The PED retail-price input carries the selected-minus-published wedge and the same proportional selected/planned signal is applied to Light and Heavy RUC rates and real RUC model-price inputs; governed coefficients determine the resulting volume response."
