stream,stream_label,component_type,period,target_period,scenario_name,scenario_role,fed_path,revenue_forecast_nzd,revenue_unit,forecast_available,bridge_status,bridge_method,source,model_id,value_status,actual_quarters,forecast_quarters,nowcast_flag,canonical_stream_key,canonical_period_key,canonical_scenario_key,canonical_join_key
light_ruc_net_revenue,Light RUC revenue,replacement_line,FY2026,FY2026,current_basecase,basecase,Current planned path,867.4389604921547,$m nominal ex GST,True,available,conventional Light RUC km * BEFU26 conventional Light effective rate,forecast_scenario_comparison.parquet; official_annual.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Current-finalist FY nowcast (3 actual + 1 forecast),2025Q3; 2025Q4; 2026Q1,2026Q2,True,LIGHT_RUC_NET_REVENUE,FY2026,current_basecase,LIGHT_RUC_NET_REVENUE|FY2026|current_basecase
heavy_ruc_net_revenue,Heavy RUC revenue,replacement_line,FY2026,FY2026,current_basecase,basecase,Current planned path,1134.8364690215053,$m nominal ex GST,True,available,sum quarterly current Heavy RUC net km * BEFU26 effective rate,forecast_scenario_comparison.parquet; official_annual.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (3 actual + 1 forecast),2025Q3; 2025Q4; 2026Q1,2026Q2,True,HEAVY_RUC_NET_REVENUE,FY2026,current_basecase,HEAVY_RUC_NET_REVENUE|FY2026|current_basecase
light_bev_ruc_net_revenue,Light BEV RUC net revenue,replacement_line,FY2026,FY2026,current_basecase,basecase,Current planned path,83.42985462699842,$m nominal ex GST,True,available,allocated Light BEV RUC km * BEFU26 Light BEV effective rate,forecast_scenario_comparison.parquet; official_annual.csv,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,LIGHT_BEV_RUC_NET_REVENUE,FY2026,current_basecase,LIGHT_BEV_RUC_NET_REVENUE|FY2026|current_basecase
phev_ruc_net_revenue,PHEV RUC net revenue,replacement_line,FY2026,FY2026,current_basecase,basecase,Current planned path,22.364680858017962,$m nominal ex GST,True,available,allocated PHEV RUC km * BEFU26 PHEV effective rate,forecast_scenario_comparison.parquet; official_annual.csv,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,PHEV_RUC_NET_REVENUE,FY2026,current_basecase,PHEV_RUC_NET_REVENUE|FY2026|current_basecase
total_ruc_net_revenue,Total RUC all classes,calculated_rollup,FY2026,FY2026,current_basecase,basecase,Current planned path,2073.8323474108515,$m nominal ex GST,True,available,ruc_revenue_net_admin - BEFU26 ruc_refunds,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,TOTAL_RUC_NET_REVENUE,FY2026,current_basecase,TOTAL_RUC_NET_REVENUE|FY2026|current_basecase
gross_ped_revenue,PED revenue,replacement_line,FY2026,FY2026,current_basecase,basecase,Current planned path,2145.0341891615885,$m nominal ex GST,True,available,raw PED/light-petrol VKT * BEFU26 litres intensity / 100 * BEFU26 PED rate,forecast_scenario_comparison.parquet; scenario_inputs/scenario_input_wide.parquet; official_annual.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,GROSS_PED_REVENUE,FY2026,current_basecase,GROSS_PED_REVENUE|FY2026|current_basecase
gross_fed_revenue,Gross FED revenue,calculated_rollup,FY2026,FY2026,current_basecase,basecase,Current planned path,2187.079351801779,$m nominal ex GST,True,available,gross_ped_revenue + BEFU26 gross_lpg_revenue + BEFU26 gross_cng_revenue,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,GROSS_FED_REVENUE,FY2026,current_basecase,GROSS_FED_REVENUE|FY2026|current_basecase
net_fed_revenue,Net FED revenue,calculated_rollup,FY2026,FY2026,current_basecase,basecase,Current planned path,2114.6925455991745,$m nominal ex GST,True,available,gross_fed_revenue - BEFU26 fed_refunds,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,NET_FED_REVENUE,FY2026,current_basecase,NET_FED_REVENUE|FY2026|current_basecase
net_mvr_revenue,Net MVR revenue,calculated_rollup,FY2026,FY2026,current_basecase,basecase,Current planned path,393.8747745212369,$m nominal ex GST,True,available,mvr_revenue_net_admin_coo - mvr_refunds,official_annual.csv,,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,NET_MVR_REVENUE,FY2026,current_basecase,NET_MVR_REVENUE|FY2026|current_basecase
total_nltf_net_revenue,Total NLTF revenue,calculated_rollup,FY2026,FY2026,current_basecase,basecase,Current planned path,4599.805745017675,$m nominal ex GST,True,available,total_revenue_net_admin - total_refunds,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,TOTAL_NLTF_NET_REVENUE,FY2026,current_basecase,TOTAL_NLTF_NET_REVENUE|FY2026|current_basecase
total_fed_ruc_net_revenue,Total RUC+PED revenue,calculated_rollup,FY2026,FY2026,current_basecase,basecase,Current planned path,4188.524893010026,$m nominal ex GST,True,available,net_fed_revenue + total_ruc_net_revenue,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (2 actual + 2 forecast),2025Q3; 2025Q4,2026Q1; 2026Q2,True,TOTAL_FED_RUC_NET_REVENUE,FY2026,current_basecase,TOTAL_FED_RUC_NET_REVENUE|FY2026|current_basecase
light_ruc_net_revenue,Light RUC revenue,replacement_line,FY2026,FY2026,current_comparison_1,comparison,Current planned path,868.010111925335,$m nominal ex GST,True,available,conventional Light RUC km * BEFU26 conventional Light effective rate,forecast_scenario_comparison.parquet; official_annual.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,Current-finalist FY nowcast (3 actual + 1 forecast),2025Q3; 2025Q4; 2026Q1,2026Q2,True,LIGHT_RUC_NET_REVENUE,FY2026,current_comparison_1,LIGHT_RUC_NET_REVENUE|FY2026|current_comparison_1
heavy_ruc_net_revenue,Heavy RUC revenue,replacement_line,FY2026,FY2026,current_comparison_1,comparison,Current planned path,1135.2113778801254,$m nominal ex GST,True,available,sum quarterly current Heavy RUC net km * BEFU26 effective rate,forecast_scenario_comparison.parquet; official_annual.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,Current-finalist FY nowcast (3 actual + 1 forecast),2025Q3; 2025Q4; 2026Q1,2026Q2,True,HEAVY_RUC_NET_REVENUE,FY2026,current_comparison_1,HEAVY_RUC_NET_REVENUE|FY2026|current_comparison_1
