file,test,seconds
tests/test_revenue_outlook_policy_runtime.py,test_every_materialised_state_equals_the_reference_pipeline[ar1],121.749
tests/test_revenue_outlook_policy_runtime.py,test_every_materialised_state_equals_the_reference_pipeline[ensemble],119.359
tests/test_revenue_outlook_replay_cache.py,test_replay_cache_matches_reference_exactly[ensemble],56.427
tests/test_fuel_price_scenario.py,test_fixed_finalist_replay_preserves_base_and_orders_governed_conflict_paths,55.373
tests/test_revenue_outlook_replay_cache.py,test_replay_cache_matches_reference_exactly[ar1],49.612
tests/test_fuel_price_scenario.py,test_ar1_pack_replays_twelve_paths_and_retains_source_lineage,48.387
tests/test_revenue_outlook.py,test_ped_bridge_modes_materialize_raw_optimized_and_reconcile,11.073
tests/test_revenue_outlook_policy_runtime.py,test_vfm_envelope_frames_equal_the_reference_preset_run[ar1],7.486
tests/test_revenue_outlook_policy_runtime.py,test_vfm_envelope_frames_equal_the_reference_preset_run[ensemble],7.253
tests/test_direct_treasury_scenario_replay.py,test_each_governed_scenario_replays_against_its_own_shadow,7.133
tests/test_direct_treasury_scenario_replay.py,test_direct_replay_is_deterministic,7.007
tests/test_fuel_price_scenario.py,test_independent_treasury_macro_replay_builds_factors_without_changing_prices,7.001
tests/test_vfm_long_run_composition.py,test_switching_schedule_rebuilds_the_pool_then_applies_the_shares,6.88
tests/test_fuel_price_scenario.py,test_append_creates_three_distinct_idempotent_traces_with_exact_replay_values_and_annual_bridge,5.891
tests/test_forecast_runner.py,test_vnext_y_lag_members_ignore_future_workbook_target_lag_leakage,4.851
tests/test_revenue_outlook_replay_cache.py,test_load_is_stable_across_calls[ar1],4.209
tests/test_revenue_outlook_replay_cache.py,test_load_is_stable_across_calls[ensemble],4.019
tests/test_revenue_outlook_replay_cache.py,test_fast_mode_named_path_runs_no_replay[ar1],3.745
tests/test_direct_treasury_scenario_replay.py,test_a_scenario_with_no_input_rows_fails_closed,3.739
tests/test_revenue_outlook_replay_cache.py,test_fast_mode_named_path_runs_no_replay[ensemble],3.713
tests/test_direct_treasury_scenario_replay.py,test_base_factors_match_the_legacy_pair_exactly,2.843
tests/test_fuel_price_scenario.py,test_run_rejects_partial_replay_before_annual_bridge,2.829
tests/test_vnext_parity.py,test_state_replay_parity[PED],2.828
tests/test_vnext_parity.py,test_state_replay_parity[HEAVY_RUC],2.459
tests/test_revenue_outlook_replay_cache.py,test_changed_source_digest_invalidates,1.587
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_off_equals_baseline_exactly_through_fy2050[vnext],1.391
tests/test_revenue_outlook_long_run_sensitivities.py,test_no_public_quarter_beyond_2050q2[vnext],1.207
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_leaves_heavy_and_mvr_exactly_unchanged[vnext],1.134
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_formula_rollups_close[vnext],1.104
tests/test_forecast_runner.py,test_completed_workbook_numeric_all_streams_with_vnext,1.032
tests/test_revenue_outlook_replay_cache.py,test_corrupt_frame_fails_hash_validation,1.017
tests/test_revenue_outlook_replay_cache.py,test_loaded_results_have_every_field[ar1],0.954
tests/test_revenue_outlook_replay_cache.py,test_loaded_results_have_every_field[ensemble],0.929
tests/test_streamlit_smoke.py,test_revenue_outlook_default_sensitivity_audit_materializes_lazily,0.926
tests/test_revenue_outlook_replay_cache.py,test_compiled_cache_exists_and_is_current[ar1],0.682
tests/test_revenue_outlook_replay_cache.py,test_digest_ignores_untracked_working_tree_files[ar1],0.664
tests/test_revenue_outlook_replay_cache.py,test_digest_ignores_untracked_working_tree_files[ensemble],0.663
tests/test_fuel_price_scenario.py,test_policy_replay_builds_twelve_paths_with_formula_closed_net_ruc,0.634
tests/test_revenue_outlook_replay_cache.py,test_edited_replay_code_makes_the_cache_stale,0.629
tests/test_direct_treasury_scenario_replay.py,test_comparison_rows_use_their_own_factors_not_bases,0.626
tests/test_revenue_outlook_replay_cache.py,test_compiled_cache_exists_and_is_current[ensemble],0.625
tests/test_direct_treasury_scenario_replay.py,test_h20_availability_survives_the_direct_overlay,0.606
tests/test_streamlit_smoke.py,test_revenue_outlook_visible_figures_materialize_through_cache,0.6
tests/test_direct_treasury_scenario_replay.py,test_official_and_actual_rows_are_untouched,0.582
tests/test_fuel_price_scenario.py,test_delayed_policy_updates_ped_pump_price_uses_exact_ruc_ratio_and_rebuilds_light_lag,0.539
tests/test_streamlit_smoke.py,test_revenue_outlook_selected_fy_figures_materialize_through_cache,0.381
tests/test_revenue_outlook_long_run_sensitivities.py,test_combined_ped_volume_is_product_of_both_factors[vnext],0.353
tests/test_revenue_outlook_replay_cache.py,test_missing_cache_produces_a_governed_page_message,0.324
tests/test_revenue_outlook_replay_cache.py,test_missing_cache_fails_closed,0.321
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_factor_follows_compound_formula_through_fy2050[Low-vnext],0.288
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_factor_follows_compound_formula_through_fy2050[High-vnext],0.285
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_begins_in_fy2026[vnext],0.279
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_preset_factors_follow_compound_formula[High-vnext],0.239
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_preset_factors_follow_compound_formula[Low-vnext],0.238
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_only_leaves_all_activity_unchanged[vnext],0.232
tests/test_vnext_parity.py,test_forward_scoring_deterministic[HEAVY_RUC],0.191
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_custom_ten_percent_follows_same_formula[vnext],0.186
tests/test_light_ruc_reproducibility_pack.py,test_ped_auxiliary_views_have_component_replay_content_and_caveat,0.172
tests/test_direct_treasury_scenario_replay.py,test_base_transform_is_reproduced_bit_for_bit,0.13
tests/test_vnext_parity.py,test_forward_scoring_deterministic[PED],0.124
tests/test_vnext_parity.py,test_forward_scoring_runs_no_model_search[HEAVY_RUC],0.105
tests/test_direct_treasury_scenario_replay.py,test_every_scenario_input_differential_is_preserved_exactly,0.101
tests/test_vnext_parity.py,test_load_scorer_rejects_hash_mismatch_before_scoring,0.087
tests/test_revenue_outlook_policy_runtime.py,test_cache_hit_runs_no_replay_or_simulation[ensemble],0.08
tests/test_direct_treasury_scenario_replay.py,test_prices_are_never_touched_for_any_scenario,0.077
tests/test_revenue_outlook_policy_runtime.py,test_cache_hit_runs_no_replay_or_simulation[ar1],0.076
tests/test_vnext_parity.py,test_forward_scoring_runs_no_model_search[PED],0.075
tests/test_vnext_parity.py,test_no_fake_forecasts_on_gap[HEAVY_RUC],0.072
tests/test_revenue_outlook_policy_runtime.py,test_stale_pack_fails_closed_with_the_rebuild_command[ar1],0.058
tests/test_revenue_outlook_policy_runtime.py,test_stale_pack_fails_closed_with_the_rebuild_command[ensemble],0.058
tests/test_revenue_outlook_excel_extract.py,test_row_labels_match_the_reference_template_exactly,0.053
tests/test_direct_treasury_scenario_replay.py,test_a_scenario_missing_a_stream_fails_closed,0.052
tests/test_vnext_parity.py,test_no_fake_forecasts_on_gap[PED],0.051
tests/test_direct_treasury_scenario_replay.py,test_missing_scenario_factor_fails_closed_instead_of_keeping_legacy,0.044
tests/test_light_ruc_reproducibility_pack.py,test_ped_component_replay_rebuilds_final_prediction,0.042
tests/test_light_ruc_reproducibility_pack.py,test_heavy_ruc_weighted_ensemble_rebuilds_final_prediction,0.04
tests/test_light_ruc_reproducibility_pack.py,test_light_ruc_replay_delta_and_recipe_are_exact,0.039
tests/test_light_ruc_reproducibility_pack.py,test_light_ruc_log_components_rebuild_final_prediction,0.038
tests/test_forward_scorer_governance.py,test_heavy_ruc_vnext_scorer_takes_precedence_when_pack_present,0.033
tests/test_light_ruc_reproducibility_pack.py,test_ped_inner_hpo_audit_is_partial_and_keeps_outer_replay_exact,0.032
tests/test_treasury_macro_paths.py,test_transform_rebuilds_macro_features_and_preserves_price_inputs,0.031
tests/test_light_ruc_reproducibility_pack.py,test_light_ruc_replay_scorecard_metrics_match_audit_facts,0.029
tests/test_fuel_price_scenario.py,test_conflict_replay_rejects_partial_numeric_stream_coverage,0.027
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_revenue_recomputed_from_adjusted_activity_and_existing_rates[vnext],0.027
tests/test_revenue_outlook_replay_cache.py,test_recorded_inputs_are_all_committed[ar1],0.024
tests/test_revenue_outlook_replay_cache.py,test_recorded_inputs_are_all_committed[ensemble],0.024
tests/test_forward_scorer_governance.py,test_ped_vnext_scorer_takes_precedence_when_pack_present,0.022
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_applies_one_factor_to_all_light_families_and_total[vnext],0.022
tests/test_vnext_parity.py,test_load_scorer_registers_the_legacy_sklearn_loss_pickle_alias,0.021
tests/test_p1_direct_macro_replay_artifacts.py,test_parity_audit_covers_both_scenarios_and_direct_is_authoritative,0.019
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_ratio_does_not_reset_at_fy2031[vnext],0.019
tests/test_revenue_outlook_long_run_sensitivities.py,test_combined_preserves_ev_phev_composition[vnext],0.018
tests/test_revenue_outlook_long_run_sensitivities.py,test_pt_preserves_light_powertrain_shares[vnext],0.017
tests/test_revenue_outlook_series_coverage.py,test_quarterly_lookup_is_a_filter_not_a_rebuild,0.013
tests/test_direct_treasury_scenario_replay.py,test_base_factors_are_never_silently_reused_for_another_scenario,0.012
tests/test_p1_direct_macro_replay_artifacts.py,test_lineage_carries_provenance_and_no_fallbacks,0.012
tests/test_p1_direct_macro_replay_artifacts.py,test_missing_input_audit_is_complete,0.011
tests/test_vnext_parity.py,test_history_actuals_match_governed_evidence[HEAVY_RUC],0.011
tests/test_vnext_parity.py,test_history_actuals_match_governed_evidence[PED],0.011
tests/test_p1_direct_macro_replay_artifacts.py,test_revenue_impact_shows_base_unchanged_and_comparison_corrected,0.01
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_preset_factors_follow_compound_formula[Med-vnext],0.009
tests/test_revenue_outlook_long_run_sensitivities.py,test_fleet_ped_revenue_reconstructed_from_selected_rate[vnext],0.009
tests/test_anchored_shape_preview_behaviour.py,test_unblended_selection_actually_rebuilds_the_layer,0.008
tests/test_revenue_outlook_long_run_sensitivities.py,test_both_current_source_paths_follow_the_same_contract[vnext],0.008
tests/test_p1_direct_macro_replay_artifacts.py,test_report_names_the_remaining_policy_layer_exception,0.007
tests/test_direct_treasury_scenario_replay.py,test_factors_are_keyed_by_scenario_and_differ_where_models_are_nonlinear,0.005
tests/test_reproducibility_audit_pack.py,test_heavy_component_registry_matches_vnext_manifest,0.005
tests/test_revenue_outlook_long_run_sensitivities.py,test_chart_rows_inherit_the_full_horizon_adjustment[vnext],0.005
tests/test_revenue_outlook_long_run_sensitivities.py,test_native_quarters_scale_by_their_annual_ratio_not_twice[vnext],0.005
tests/test_vnext_parity.py,test_governed_evidence_pack_untouched_by_pipeline_outputs,0.005
tests/test_p1_direct_macro_replay_artifacts.py,test_base_parity_is_exact_and_the_comparison_correction_is_real,0.004
