source_path,FY,period,section,line_label,series_id,value,unit,row_role,source_file,source_cell,formula,source_status,source_basis,vktpc_source_file,vktpc_source_cell,vktpc_source_status,population_source_file,population_source_cell,population_source_status,model_id,quarter_composition,actual_quarters,forecast_quarters,replacement_flag,value_status,residual_vs_official,scenario_name,scenario_role,fed_path,availability_status,forecast_segment,ped_bridge_mode_label,ped_bridge_value_delta,ped_bridge_population_warning
Current finalist Base case,2025,FY2025,Key volumes,Light RUC net km,light_ruc_net_km,12073.374168411488,million km,bridge_input,annual_spine.csv,Z5,,ACTUAL,BEFU26 actual anchor,,,,,,,dynamic_RESID_GBR_n150_d1_lr0.05_w36,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,Heavy RUC net km,heavy_ruc_net_km,3981.873439,million km,bridge_input,annual_spine.csv,Z6,,ACTUAL,BEFU26 actual anchor,,,,,,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,Light BEV RUC net km,light_bev_ruc_net_km,975.927403033152,million km,bridge_input,annual_spine.csv,Z7,,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,Heavy BEV RUC net km,heavy_bev_ruc_net_km,0.0,million km,bridge_input,annual_spine.csv,Z8,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,PHEV RUC net km,phev_ruc_net_km,480.44116455536,million km,bridge_input,annual_spine.csv,Z9,,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,PED volume,ped_volume,2894.27382723066,million litres,bridge_input,annual_spine.csv,Z10,,ACTUAL,BEFU26 actual anchor,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q1; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q2,current_finalist_model,scenario_inputs/scenario_input_wide.parquet,scenario_inputs/scenario_input_wide.parquet:PED:population (none); official_annual.csv:population_proxy (2024Q3; 2024Q4; 2025Q1; 2025Q2),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,PED__VNEXT_SOLVED_CONVEX_TOP2,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,Light petrol VKT,light_petrol_vkt,31704.7370711529,million km,bridge_input,annual_spine.csv,Z11,,ACTUAL,BEFU26 actual anchor,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q1; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q2,current_finalist_model,scenario_inputs/scenario_input_wide.parquet,scenario_inputs/scenario_input_wide.parquet:PED:population (none); official_annual.csv:population_proxy (2024Q3; 2024Q4; 2025Q1; 2025Q2),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,PED VKT per capita,ped_vkt_per_capita,5973.0514101063,km/person,bridge_input,annual_spine.csv,Z12,,ACTUAL,BEFU26 actual anchor,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q1; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q2,current_finalist_model,,,,PED__VNEXT_SOLVED_CONVEX_TOP2,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,Key volumes,TUC GTK,tuc_gtk,8016352797.0,tonne-km,bridge_input,annual_spine.csv,Z13,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,Light RUC net revenue,light_ruc_net_revenue,817.392755499028,$m nominal ex GST,replacement_line,annual_spine.csv,Z28,,ACTUAL,BEFU26 actual anchor,,,,,,,dynamic_RESID_GBR_n150_d1_lr0.05_w36,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,True,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,Heavy RUC net revenue,heavy_ruc_net_revenue,1109.95026251304,$m nominal ex GST,replacement_line,annual_spine.csv,Z29,,ACTUAL,BEFU26 actual anchor,,,,,,,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,True,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,Light BEV RUC net revenue,light_bev_ruc_net_revenue,65.88575453502638,$m nominal ex GST,replacement_line,annual_spine.csv,Z30,,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,True,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,Heavy BEV RUC net revenue,heavy_bev_ruc_net_revenue,7.73070496506989e-12,$m nominal ex GST,leaf,annual_spine.csv,Z31,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,PHEV RUC net revenue,phev_ruc_net_revenue,16.68123390320731,$m nominal ex GST,replacement_line,annual_spine.csv,Z32,,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,True,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,RUC refunds,ruc_refunds,62.55622679,$m nominal ex GST,deduction,annual_spine.csv,Z33,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,Gross RUC,gross_ruc_revenue,2072.4662332403095,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z34,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,RUC admin,ruc_admin_revenue,32.2658680521739,$m nominal ex GST,deduction,annual_spine.csv,Z35,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,RUC net admin,ruc_revenue_net_admin,2040.2003651881357,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z36,gross_ruc_revenue - ruc_admin_revenue,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,RUC,RUC net admin/refunds,total_ruc_net_revenue,1977.6441383981355,$m nominal ex GST,calculated_rollup,annual_spine.csv,Z37,ruc_revenue_net_admin - ruc_refunds,ACTUAL,BEFU26 actual anchor,,,,,,,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,FED,Gross PED,gross_ped_revenue,2026.68630478,$m nominal ex GST,replacement_line,annual_spine.csv,Z40,,ACTUAL,BEFU26 actual anchor,forecast_scenario_comparison.parquet,data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q3; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2024Q4; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q1; data/current_revenue_outlook/revenue_chart_rows.csv:historical_actual:2025Q2,current_finalist_model,scenario_inputs/scenario_input_wide.parquet,scenario_inputs/scenario_input_wide.parquet:PED:population (none); official_annual.csv:population_proxy (2024Q3; 2024Q4; 2025Q1; 2025Q2),scenario_input_population_with_mbu_population_proxy_for_missing_quarters,PED__VNEXT_SOLVED_CONVEX_TOP2,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,True,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
Current finalist Base case,2025,FY2025,FED,LPG,gross_lpg_revenue,40.94161913,$m nominal ex GST,leaf,annual_spine.csv,Z41,,ACTUAL,BEFU26 actual anchor,,,,,,,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,False,Actual anchor,0.0,current_basecase,basecase,Current planned path,available,,,,
