Forecast cell,Stream,Term,In-house coefficient,Aaron Schiff coefficient,Active coefficient,Source / treatment
'Forecast machinery'!C6,PED VKTpc structural,intercept,7.59291,5.630608455113143,7.59291,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted. Calibrated intercept preserves 2025Q3 continuity while allowing Schiff elasticities to drive the path.
'Forecast machinery'!C7,PED VKTpc structural,LN real petrol price,-0.140183,-0.125,-0.140183,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C8,PED VKTpc structural,LN real GDP per capita,0.061857,0.352,0.061857,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C9,PED VKTpc structural,LN unemployment rate,-0.035539,-0.044,-0.035539,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C10,PED VKTpc structural,Dummy post-2011,0.077167,1.486,0.077167,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C11,PED VKTpc structural,LN trend index,-0.018643,-0.287,-0.018643,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C12,PED VKTpc structural,Dummy 2020,-0.110901,-0.082,-0.110901,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C13,PED VKTpc structural,Dummy post-2020,-0.079643,-0.083,-0.079643,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C14,PED VKTpc structural,Dummy Q2,-0.00521,-0.005,-0.00521,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C15,PED VKTpc structural,Dummy Q3,-0.000966,-0.003,-0.000966,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C16,PED VKTpc structural,Dummy Q4,0.00867,0.009,0.00867,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C17,PED VKTpc structural,Dummy post-2011 × LN trend,-0.028397,-0.296,-0.028397,Aaron Schiff PED report Table 2.10; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C18,PED VKT to volume,intercept,-3.319,-3.319,-3.319,Aaron Schiff PED report Table 3.3 VKT-to-PED-volume conversion.
'Forecast machinery'!C19,PED VKT to volume,LN total light petrol VKT,1.125,1.125,1.125,Aaron Schiff PED report Table 3.3 VKT-to-PED-volume conversion.
'Forecast machinery'!C20,PED VKT to volume,LN trend index,-0.031,-0.031,-0.031,Aaron Schiff PED report Table 3.3 VKT-to-PED-volume conversion.
'Forecast machinery'!C21,Light RUC volume,intercept,-17.39087,-19.11539795088885,-17.39087,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted. Calibrated intercept preserves 2025Q3 continuity while allowing Schiff elasticities to drive the path.
'Forecast machinery'!C22,Light RUC volume,LN real diesel price,-0.141889,-0.065,-0.141889,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C23,Light RUC volume,LN real light RUC price,-1.018897,-0.835,-1.018897,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C24,Light RUC volume,LN lagged real light RUC price,0.764952,0.621,0.764952,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C25,Light RUC volume,LN real GDP total,1.620458,1.664,1.620458,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C26,Light RUC volume,Dummy post-2020,-0.124452,-0.095,-0.124452,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C27,Light RUC volume,Dummy Q2,0.005495,-0.027,0.005495,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C28,Light RUC volume,Dummy Q3,-0.042033,-0.031,-0.042033,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C29,Light RUC volume,Dummy Q4,0.011567,0.029,0.011567,Aaron Schiff RUC report Table 2.3; intercept calibrated to workbook units at 2025Q3 where noted.
'Forecast machinery'!C30,Heavy RUC volume,intercept,11.10150157,3.160139334841041,11.10150157,v4.3 root-cause fix: in-house HRUC coefficients re-estimated from the workbook historical quarterly data instead of reusing Schiff Table 3.2 coefficients.
'Forecast machinery'!C31,Heavy RUC volume,LN real GDP total,0.38803298,0.731,0.38803298,"In-house HRUC OLS refit, 2013Q1-2025Q3, same transparent HRUC variable set as the Schiff comparator."
'Forecast machinery'!C32,Heavy RUC volume,LN real heavy RUC price,-0.060148,-0.345,-0.060148,In-house HRUC OLS refit; keeps dashboard comparison model-basis-specific rather than duplicating the Aaron Schiff coefficient set.
'Forecast machinery'!C33,Heavy RUC volume,LN lead real heavy RUC price,0.022208,0.183,0.022208,In-house HRUC OLS refit; lead-price effect no longer inherits Schiff coefficient.
'Forecast machinery'!C34,Heavy RUC volume,Dummy Q2,-0.03151417,-0.051,-0.03151417,In-house HRUC OLS refit; seasonal Q2 coefficient.
'Forecast machinery'!C35,Heavy RUC volume,Dummy Q3,-0.02285068,-0.056,-0.02285068,In-house HRUC OLS refit; seasonal Q3 coefficient.
'Forecast machinery'!C36,Heavy RUC volume,Dummy Q4,0.03983863,0.022,0.03983863,In-house HRUC OLS refit; seasonal Q4 coefficient.
