series_option,canonical_id,display_name,metric_type,unit,valid_bases,valid_controls,actual_source,primary_forecast_source,excluded_lineage_source,bridge,last_complete_actual_fy,first_forecast_fy,first_forecast_quarter,model_training_cutoff,revenue_actual_cutoff,horizon,availability_status,interpretation
Heavy BEV RUC net km,heavy_bev_ruc_net_km,Heavy BEV RUC net km,activity,million km,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,derived_bridge,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2054,source_pack_or_legacy_only,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
Heavy BEV RUC net revenue,heavy_bev_ruc_net_revenue,Heavy BEV RUC net revenue,revenue,$m nominal ex GST,Gross; Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Selected-MOT/source-pack fixed row; not replaced by current econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2055,source_pack_or_legacy_only,Revenue trace must state whether it is current finalist or an official external comparator.
Heavy RUC net km,heavy_ruc_net_km,Heavy RUC net km,activity,km,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Direct current finalist econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
Heavy RUC revenue,heavy_ruc_net_revenue,Heavy RUC revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,"Heavy RUC=current net-km forecast/1,000 * governed class-mix Heavy rate",2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
Heavy conventional RUC revenue,heavy_ruc_net_revenue,Heavy RUC revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,"Heavy RUC=current net-km forecast/1,000 * governed class-mix Heavy rate",2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
Light BEV RUC net km,light_bev_ruc_net_km,Light BEV RUC net km,activity,million km,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,derived_bridge,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2054,source_pack_or_legacy_only,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
Light BEV RUC net revenue,light_bev_ruc_net_revenue,Light BEV RUC net revenue,revenue,$m nominal ex GST,Gross; Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,official_befu25_annual.csv selected-MOT fixed row,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Selected-MOT/source-pack fixed row; not replaced by current econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2001-FY2055,source_pack_or_legacy_only,Revenue trace must state whether it is current finalist or an official external comparator.
Light RUC net km,light_ruc_net_km,Light RUC net km,activity,km,not_applicable,series; time_grain; horizon,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Direct current finalist econometric forecast,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,"Activity and volume rows are not revenue-basis, FED-path or Crown-top-up sensitive."
Light RUC revenue,light_ruc_net_revenue,Light RUC revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,"Light RUC=current net-km forecast/1,000 * governed effective Light rate",2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
Light conventional RUC revenue,light_ruc_net_revenue,Light RUC revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,"Light RUC=current net-km forecast/1,000 * governed effective Light rate",2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Revenue trace must state whether it is current finalist or an official external comparator.
Net FED revenue,net_fed_revenue,Net FED revenue,revenue,$m nominal ex GST,Net; Nominal ex GST,series; time_grain; horizon; revenue_basis; fed_path; crown_top_up,annual_actuals.csv and quarterly_actuals.csv actual-status rows after completeness audit,data/current_revenue_outlook/revenue_chart_rows.csv + governed bridge rows,annual_model_paths.csv is offline lineage only and is excluded from Revenue Outlook runtime forecasts,Calculated from current replacement lines plus selected-MOT fixed rows and explicit residual reporting,2025,FY2026,2026Q1,2025Q4,2026Q1,FY2025-FY2031,current_model_available,Total/net rollups expose only controls that affect their governed components.
