family,selection,display_name,stream,value,unit,start_fy,end_fy,formula,default_selected,custom_allowed,source_cells,source_workbook_sha256,cost_per_km_ratio_status,notes
fleet_efficiency,Off,Off,PED,0.0,fraction p.a.,2026,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,Low,Low 0.5% p.a.,PED,0.005,fraction p.a.,2026,2050,base_litres_per_100km*(1-eff_gain)^(FY-start_fy+1),False,True,C181,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,Med,Med 1.0% p.a.,PED,0.01,fraction p.a.,2026,2050,base_litres_per_100km*(1-eff_gain)^(FY-start_fy+1),False,True,D181,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,High,High 1.5% p.a.,PED,0.015,fraction p.a.,2026,2050,base_litres_per_100km*(1-eff_gain)^(FY-start_fy+1),False,True,E181,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,Custom,Custom,PED,0.0,fraction p.a.,2026,2050,base_litres_per_100km*(1-custom_eff_gain)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
pt_mode_shift,Off,Off,PED_LIGHT_PETROL,0.0,fraction p.a.,2030,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
pt_mode_shift,Low,Low 0.25% p.a.,PED_LIGHT_PETROL,0.0025,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,C206,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Med,Med 0.5% p.a.,PED_LIGHT_PETROL,0.005,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,D206,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,High,High 1.0% p.a.,PED_LIGHT_PETROL,0.01,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,E206,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Custom,Custom,PED_LIGHT_PETROL,0.0,fraction p.a.,2030,2050,(1-custom_pt_shift_pct)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
pt_mode_shift,Off,Off,LIGHT_RUC,0.0,fraction p.a.,2030,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
pt_mode_shift,Low,Low 0.25% p.a.,LIGHT_RUC,0.0025,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,C213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Med,Med 0.5% p.a.,LIGHT_RUC,0.005,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,D213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,High,High 1.0% p.a.,LIGHT_RUC,0.01,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,E213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
