series_id,series_label,fan_source,available,reason,source_file,model_id,horizon_scope,interpretation
ped_vkt_per_capita,PED VKT per capita,Auto / best available,True,"Auto selects Current finalist backtest error, the highest-priority materialized fan source for this series.",data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.
ped_vkt_per_capita,PED VKT per capita,MBU26 archived forecast error,False,"MBU26 archived error bands are materialized for PED volume/revenue, not PED VKT per capita; no VKT-per-capita archived band is available.",,,missing_archived_error_band_by_series_horizon,"MBU26 archived error bands are materialized for PED volume/revenue, not PED VKT per capita; no VKT-per-capita archived band is available."
ped_vkt_per_capita,PED VKT per capita,Current finalist backtest error,True,Current finalist annual backtest residual evidence is materialized for the mapped model stream.,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,PED finalist backtest residuals mapped directly to PED VKT per capita. Empirical bands use actual/predicted annual finalist residual ratios; n=24.
ped_vkt_per_capita,PED VKT per capita,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,forecast_scenario_comparison.parquet,PED__VNEXT_SOLVED_CONVEX_TOP2,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
ped_vkt_per_capita,PED VKT per capita,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
light_ruc_net_km,Light RUC net km,Auto / best available,True,"Auto selects Current finalist backtest error, the highest-priority materialized fan source for this series.",data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,annual_backtest_residuals_all_available_origins,Light RUC finalist backtest residuals mapped directly to Light RUC net km. Empirical bands use actual/predicted annual finalist residual ratios; n=10.
light_ruc_net_km,Light RUC net km,MBU26 archived forecast error,True,Archived forecast-error bands and MBU26 official central rows are materialized for this series.,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
light_ruc_net_km,Light RUC net km,Current finalist backtest error,True,Current finalist annual backtest residual evidence is materialized for the mapped model stream.,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,annual_backtest_residuals_all_available_origins,Light RUC finalist backtest residuals mapped directly to Light RUC net km. Empirical bands use actual/predicted annual finalist residual ratios; n=10.
light_ruc_net_km,Light RUC net km,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,forecast_scenario_comparison.parquet,dynamic_RESID_GBR_n150_d1_lr0.05_w36,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
light_ruc_net_km,Light RUC net km,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
heavy_ruc_net_km,Heavy RUC net km,Auto / best available,True,"Auto selects Current finalist backtest error, the highest-priority materialized fan source for this series.",data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,annual_backtest_residuals_all_available_origins,Heavy RUC finalist backtest residuals mapped directly to Heavy RUC net km. Empirical bands use actual/predicted annual finalist residual ratios; n=24.
heavy_ruc_net_km,Heavy RUC net km,MBU26 archived forecast error,True,Archived forecast-error bands and MBU26 official central rows are materialized for this series.,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
heavy_ruc_net_km,Heavy RUC net km,Current finalist backtest error,True,Current finalist annual backtest residual evidence is materialized for the mapped model stream.,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,annual_backtest_residuals_all_available_origins,Heavy RUC finalist backtest residuals mapped directly to Heavy RUC net km. Empirical bands use actual/predicted annual finalist residual ratios; n=24.
heavy_ruc_net_km,Heavy RUC net km,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,forecast_scenario_comparison.parquet,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
heavy_ruc_net_km,Heavy RUC net km,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
gross_ped_revenue,PED revenue,Auto / best available,True,"Auto selects Current finalist backtest error, the highest-priority materialized fan source for this series.",data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,"PED model uncertainty applied through the deterministic MBU26 population, intensity and rate bridge; excludes uncertainty in those bridge inputs. Empirical bands use actual/predicted annual finalist residual ratios; n=24."
gross_ped_revenue,PED revenue,MBU26 archived forecast error,True,Archived forecast-error bands and MBU26 official central rows are materialized for this series.,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
gross_ped_revenue,PED revenue,Current finalist backtest error,True,Current finalist annual backtest residual evidence is materialized for the mapped model stream.,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,annual_backtest_residuals_all_available_origins,"PED model uncertainty applied through the deterministic MBU26 population, intensity and rate bridge; excludes uncertainty in those bridge inputs. Empirical bands use actual/predicted annual finalist residual ratios; n=24."
gross_ped_revenue,PED revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,forecast_scenario_comparison.parquet; mbu26_official_annual.csv,PED__VNEXT_SOLVED_CONVEX_TOP2,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
gross_ped_revenue,PED revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
light_ruc_net_revenue,Light RUC revenue,Auto / best available,True,"Auto selects Current finalist backtest error, the highest-priority materialized fan source for this series.",data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,annual_backtest_residuals_all_available_origins,Light RUC model uncertainty applied through the deterministic MBU26 effective-rate bridge; excludes rate uncertainty. Empirical bands use actual/predicted annual finalist residual ratios; n=10.
light_ruc_net_revenue,Light RUC revenue,MBU26 archived forecast error,True,Archived forecast-error bands and MBU26 official central rows are materialized for this series.,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
light_ruc_net_revenue,Light RUC revenue,Current finalist backtest error,True,Current finalist annual backtest residual evidence is materialized for the mapped model stream.,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,annual_backtest_residuals_all_available_origins,Light RUC model uncertainty applied through the deterministic MBU26 effective-rate bridge; excludes rate uncertainty. Empirical bands use actual/predicted annual finalist residual ratios; n=10.
light_ruc_net_revenue,Light RUC revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,forecast_scenario_comparison.parquet; mbu26_official_annual.csv,dynamic_RESID_GBR_n150_d1_lr0.05_w36,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
light_ruc_net_revenue,Light RUC revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
heavy_ruc_net_revenue,Heavy RUC revenue,Auto / best available,True,"Auto selects Current finalist backtest error, the highest-priority materialized fan source for this series.",data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,annual_backtest_residuals_all_available_origins,Heavy RUC model uncertainty applied through the deterministic MBU26 effective-rate bridge; excludes rate uncertainty. Empirical bands use actual/predicted annual finalist residual ratios; n=24.
heavy_ruc_net_revenue,Heavy RUC revenue,MBU26 archived forecast error,True,Archived forecast-error bands and MBU26 official central rows are materialized for this series.,data/revenue_model_source_pack/2026_05_19/mot_error_bands.csv; data/current_revenue_outlook/revenue_chart_rows.csv,MBU26 official comparator,june_year_horizon_from_fy2025_actual,Archived MBU26/MOT forecast-error quantiles by matching source series and June-year horizon.
heavy_ruc_net_revenue,Heavy RUC revenue,Current finalist backtest error,True,Current finalist annual backtest residual evidence is materialized for the mapped model stream.,data/dashboard_evidence_pack/data/annual_predictions.parquet; data/current_revenue_outlook/revenue_chart_rows.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,annual_backtest_residuals_all_available_origins,Heavy RUC model uncertainty applied through the deterministic MBU26 effective-rate bridge; excludes rate uncertainty. Empirical bands use actual/predicted annual finalist residual ratios; n=24.
heavy_ruc_net_revenue,Heavy RUC revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,forecast_scenario_comparison.parquet; mbu26_official_annual.csv,HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
heavy_ruc_net_revenue,Heavy RUC revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
gross_fed_revenue,Gross FED revenue,Auto / best available,True,"Auto selects Scenario spread, the highest-priority materialized fan source for this series.",current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
gross_fed_revenue,Gross FED revenue,MBU26 archived forecast error,False,No MBU26 archived forecast-error band is materialized for Gross FED revenue.,,,missing_archived_error_band_by_series_horizon,No MBU26 archived forecast-error band is materialized for Gross FED revenue.
gross_fed_revenue,Gross FED revenue,Current finalist backtest error,False,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown.",,,missing_model_stream_or_component_propagation,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown."
gross_fed_revenue,Gross FED revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
gross_fed_revenue,Gross FED revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
net_fed_revenue,Net FED revenue,Auto / best available,True,"Auto selects Scenario spread, the highest-priority materialized fan source for this series.",current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
net_fed_revenue,Net FED revenue,MBU26 archived forecast error,False,No MBU26 archived forecast-error band is materialized for Net FED revenue.,,,missing_archived_error_band_by_series_horizon,No MBU26 archived forecast-error band is materialized for Net FED revenue.
net_fed_revenue,Net FED revenue,Current finalist backtest error,False,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown.",,,missing_model_stream_or_component_propagation,"Current finalist component uncertainty has not been propagated through this aggregate revenue formula, so no aggregate backtest-error fan is shown."
net_fed_revenue,Net FED revenue,Scenario spread,True,Current finalist base and comparison rows are materialized for this series; scenario spread is not probabilistic uncertainty.,current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
net_fed_revenue,Net FED revenue,None / governed gap,False,Fan intentionally disabled; governed gap displayed.,,,not_applicable,Fan intentionally disabled; governed gap displayed.
total_ruc_net_revenue,Total RUC all classes,Auto / best available,True,"Auto selects Scenario spread, the highest-priority materialized fan source for this series.",current_hybrid_formula,PED__VNEXT_SOLVED_CONVEX_TOP2; dynamic_RESID_GBR_n150_d1_lr0.05_w36; HEAVY_RUC__VNEXT_SOLVED_CONVEX_TOP4,future_june_year_base_vs_comparison,Base and comparison current-finalist values define a scenario spread; this is not probabilistic uncertainty.
