vintage_id,source_label,source_series_id,runtime_series_id,dashboard_label,unit,alias_reason,status,alias_target_materialised_in_source,runtime_series_in_chart_pack,runtime_series_in_display_order,alias_is_the_defect
BEFU26,MR13 revenue,coo_revenue,coo_revenue,MR13,$m nominal ex GST,MR13 and COO revenue are label variants for the same BEFU26 deduction component.,display_alias,True,False,False,False
BEFU26,MR13/COO revenue,coo_revenue,coo_revenue,MR13,$m nominal ex GST,The original BEFU26 source label is retained in provenance while the compact dashboard line label is MR13.,display_alias,True,False,False,False
MBU26,MR13 revenue,coo_revenue,coo_revenue,MR13,$m nominal ex GST,MR13 and COO revenue are label variants for the same MBU26 row 55 deduction component.,display_alias,True,False,False,False
MBU26,MR13/COO revenue,coo_revenue,coo_revenue,MR13,$m nominal ex GST,The original MBU26/source label is retained in provenance while the compact dashboard line label is MR13.,display_alias,True,False,False,False
BEFU26,Gross PED revenue,gross_ped_revenue,gross_ped_revenue,PED revenue,$m nominal ex GST,Gross PED revenue and PED revenue are display aliases for the same BEFU26 gross PED row.,display_alias,True,True,True,False
MBU26,Gross PED revenue,gross_ped_revenue,gross_ped_revenue,PED revenue,$m nominal ex GST,Gross PED revenue and PED revenue are display aliases for the same MBU26 gross PED row.,display_alias,True,True,True,False
BEFU26,Light petrol VKT per capita (km),light_petrol_vkt_per_capita,ped_vkt_per_capita,PED VKT per capita,km/person,The BEFU26 worksheet label is Light petrol VKT per capita; the dashboard and current finalist model use PED VKT per capita for the same annual activity concept.,canonical_mapping,True,True,True,False
MBU26,Light petrol VKT per capita (km),light_petrol_vkt_per_capita,ped_vkt_per_capita,PED VKT per capita,km/person,MBU26 row 17 uses the worksheet label Light petrol VKT per capita; the dashboard and current finalist model use PED VKT per capita for the same annual activity concept.,canonical_mapping,True,True,True,False
BEFU26,MVR revenues net of admin fees & COO,mvr_revenue_net_admin_coo,mvr_revenue_net_admin_coo,MVR net admin & COO,$m nominal ex GST,Long-form BEFU26 source label and compact dashboard label describe the same MVR net-admin/COO component.,display_alias,True,False,False,False
MBU26,MVR revenues net of admin fees & COO,mvr_revenue_net_admin_coo,mvr_revenue_net_admin_coo,MVR net admin & COO,$m nominal ex GST,Long-form MBU26/source label and compact dashboard label describe the same MVR net-admin/COO component.,display_alias,True,False,False,False
BEFU26,"MVR revenues net of admin fees, refunds & COO",net_mvr_revenue,net_mvr_revenue,MVR net admin/refunds/COO,$m nominal ex GST,This label variant includes refunds and maps to the final Net MVR revenue canonical row.,canonical_mapping,True,True,True,False
MBU26,"MVR revenues net of admin fees, refunds & COO",net_mvr_revenue,net_mvr_revenue,MVR net admin/refunds/COO,$m nominal ex GST,This label variant includes refunds and maps to the final Net MVR revenue canonical row.,canonical_mapping,True,True,True,False
BEFU26,PED VKT per capita,ped_vkt_per_capita,ped_vkt_per_capita,PED VKT per capita,km/person,Current finalist source rows already use the dashboard canonical series.,already_canonical,True,True,True,False
MBU26,PED VKT per capita,ped_vkt_per_capita,ped_vkt_per_capita,PED VKT per capita,km/person,Current finalist source rows already use the dashboard canonical series.,already_canonical,True,True,True,False
BEFU26,Total net revenues,total_nltf_net_revenue,total_nltf_net_revenue,Total NLTF revenue,$m nominal ex GST,Total net revenues is the BEFU26 source wording for the final Total NLTF revenue line.,canonical_mapping,True,True,True,False
MBU26,Total net revenues,total_nltf_net_revenue,total_nltf_net_revenue,Total NLTF revenue,$m nominal ex GST,Total net revenues is the source-pack wording for the final Total NLTF revenue line.,canonical_mapping,True,True,True,False
BEFU26,RUC revenues net of admin fees & refunds,total_ruc_net_revenue,total_ruc_net_revenue,Total RUC all classes,$m nominal ex GST,The dashboard selector keeps the Total RUC all classes label; the BEFU26 source wording describes the same net-admin/refunds formula.,canonical_mapping,True,True,True,False
MBU26,RUC revenues net of admin fees & refunds,total_ruc_net_revenue,total_ruc_net_revenue,Total RUC all classes,$m nominal ex GST,The dashboard selector keeps the MBU26 Total RUC all classes label; source-pack wording describes the same net-admin/refunds formula.,canonical_mapping,True,True,True,False
