series_option,canonical_id,display_name,metric_type,unit,valid_bases,valid_controls,actual_source,primary_forecast_source,excluded_lineage_source,bridge,last_complete_actual_fy,first_forecast_fy,first_forecast_quarter,model_training_cutoff,availability_status,interpretation
Gross FED revenue,gross_fed_revenue,Gross FED revenue,revenue,$m nominal ex GST,Nominal ex GST,series; time_grain; horizon; selected_fy,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Revenue trace is either MBU26 official or current-finalist replacement-only hybrid.
Heavy RUC net km,heavy_ruc_net_km,Heavy RUC net km,activity,million km,not_applicable,series; time_grain; horizon,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Activity controls hide revenue-only selectors.
Heavy RUC revenue,heavy_ruc_net_revenue,Heavy RUC revenue,revenue,$m nominal ex GST,Nominal ex GST,series; time_grain; horizon; selected_fy,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,Current Heavy RUC net-km forecast multiplied by MBU26 effective Heavy RUC rate.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Revenue trace is either MBU26 official or current-finalist replacement-only hybrid.
Light RUC net km,light_ruc_net_km,Light RUC net km,activity,million km,not_applicable,series; time_grain; horizon,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Activity controls hide revenue-only selectors.
Light RUC revenue,light_ruc_net_revenue,Light RUC revenue,revenue,$m nominal ex GST,Nominal ex GST,series; time_grain; horizon; selected_fy,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,Current Light RUC net-km forecast multiplied by MBU26 effective Light RUC rate.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Revenue trace is either MBU26 official or current-finalist replacement-only hybrid.
Net FED revenue,net_fed_revenue,Net FED revenue,revenue,$m nominal ex GST,Nominal ex GST,series; time_grain; horizon; selected_fy,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Revenue trace is either MBU26 official or current-finalist replacement-only hybrid.
Net MVR revenue,net_mvr_revenue,Net MVR revenue,revenue,$m nominal ex GST,Nominal ex GST,series; time_grain; horizon; selected_fy,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Revenue trace is either MBU26 official or current-finalist replacement-only hybrid.
PED VKT per capita,ped_vkt_per_capita,PED VKT per capita,activity,km/person,not_applicable,series; time_grain; horizon,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Activity controls hide revenue-only selectors.
PED revenue,gross_ped_revenue,PED revenue,revenue,$m nominal ex GST,Nominal ex GST,series; time_grain; horizon; selected_fy,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,"Current PED VKT/capita forecast through MBU26 population, litres intensity and gross PED rate.",2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Revenue trace is either MBU26 official or current-finalist replacement-only hybrid.
PED volume,ped_volume,PED volume,activity,million litres,not_applicable,series; time_grain; horizon,data/revenue_model_source_pack/mbu26_annual_spine/mbu26_annual_spine.csv,MBU26 official annual rows plus current-finalist model forecast replacements where applicable,Legacy Excel forecast paths are excluded from runtime traces,MBU26 source row or direct current finalist activity forecast.,2025,FY2026,2026Q1,2025Q4,mbu26_current_runtime_available,Activity controls hide revenue-only selectors.
